chr	window	start	end	good	error	overrep	lounrep	hiunrep	others
U00096.3	0	1	50000	47248	45	0	0	0	2707
U00096.3	1	50001	100000	46711	130	1	0	0	3158
U00096.3	2	100001	150000	48361	62	0	0	0	1577
U00096.3	3	150001	200000	46325	745	10	24	0	2896
U00096.3	4	200001	250000	46890	172	0	0	0	2938
U00096.3	5	250001	300000	36180	6439	29	0	0	7352
U00096.3	6	300001	350000	44193	831	382	0	0	4594
U00096.3	7	350001	400000	43371	207	394	0	0	6028
U00096.3	8	400001	450000	49081	3	0	0	0	916
U00096.3	9	450001	500000	47570	595	5	0	0	1830
U00096.3	10	500001	550000	42242	1795	926	0	0	5037
U00096.3	11	550001	600000	47091	62	401	12	0	2434
U00096.3	12	600001	650000	43550	851	5	0	0	5594
U00096.3	13	650001	700000	48159	53	19	0	0	1769
U00096.3	14	700001	750000	42478	472	2638	0	0	4412
U00096.3	15	750001	800000	49206	0	0	0	0	794
U00096.3	16	800001	850000	47593	172	0	0	0	2235
U00096.3	17	850001	900000	49078	0	0	0	0	922
U00096.3	18	900001	950000	47989	77	166	0	0	1768
U00096.3	19	950001	1000000	48490	28	0	0	0	1482
U00096.3	20	1000001	1050000	48026	15	0	1	0	1958
U00096.3	21	1050001	1100000	45317	204	617	0	0	3862
U00096.3	22	1100001	1150000	47685	148	0	0	0	2167
U00096.3	23	1150001	1200000	49035	15	0	0	0	950
U00096.3	24	1200001	1250000	48479	27	0	23	0	1471
U00096.3	25	1250001	1300000	48429	57	0	10	0	1504
U00096.3	26	1300001	1350000	48917	0	19	0	0	1064
U00096.3	27	1350001	1400000	45896	231	23	0	0	3850
U00096.3	28	1400001	1450000	48123	793	3	0	0	1081
U00096.3	29	1450001	1500000	48391	76	0	7	0	1526
U00096.3	30	1500001	1550000	47906	201	898	0	0	995
U00096.3	31	1550001	1600000	49053	0	0	2	0	945
U00096.3	32	1600001	1650000	49405	0	0	0	0	595
U00096.3	33	1650001	1700000	49816	0	0	0	0	184
U00096.3	34	1700001	1750000	47849	0	74	0	0	2077
U00096.3	35	1750001	1800000	49321	12	0	0	0	667
U00096.3	36	1800001	1850000	46867	394	0	3	0	2736
U00096.3	37	1850001	1900000	48862	28	0	0	0	1110
U00096.3	38	1900001	1950000	49241	0	0	5	0	754
U00096.3	39	1950001	2000000	49283	0	0	0	0	717
U00096.3	40	2000001	2050000	47825	4	0	20	0	2151
U00096.3	41	2050001	2100000	47713	75	19	12	0	2181
U00096.3	42	2100001	2150000	47904	126	19	0	0	1951
U00096.3	43	2150001	2200000	45706	215	382	0	0	3697
U00096.3	44	2200001	2250000	47245	124	130	0	0	2501
U00096.3	45	2250001	2300000	49005	0	19	0	0	976
U00096.3	46	2300001	2350000	47754	281	348	0	0	1617
U00096.3	47	2350001	2400000	45406	224	0	0	0	4370
U00096.3	48	2400001	2450000	48000	52	0	0	0	1948
U00096.3	49	2450001	2500000	48339	0	0	7	0	1654
U00096.3	50	2500001	2550000	45399	539	0	7	0	4055
U00096.3	51	2550001	2600000	43389	536	27	0	0	6048
U00096.3	52	2600001	2650000	47388	72	0	0	0	2540
U00096.3	53	2650001	2700000	45841	209	0	0	0	3950
U00096.3	54	2700001	2750000	48508	16	0	0	0	1476
U00096.3	55	2750001	2800000	45756	828	0	0	0	3416
U00096.3	56	2800001	2850000	43362	352	4	0	0	6282
U00096.3	57	2850001	2900000	47225	43	31	35	0	2666
U00096.3	58	2900001	2950000	48590	37	2	0	0	1371
U00096.3	59	2950001	3000000	48794	36	0	0	0	1170
U00096.3	60	3000001	3050000	49477	0	5	0	0	518
U00096.3	61	3050001	3100000	48668	8	0	0	0	1324
U00096.3	62	3100001	3150000	47280	73	19	0	0	2628
U00096.3	63	3150001	3200000	48936	0	0	0	0	1064
U00096.3	64	3200001	3250000	47066	11	31	0	0	2892
U00096.3	65	3250001	3300000	48552	44	0	0	0	1404
U00096.3	66	3300001	3350000	48883	38	0	1	0	1078
U00096.3	67	3350001	3400000	46295	174	19	0	0	3512
U00096.3	68	3400001	3450000	49133	27	13	53	0	774
U00096.3	69	3450001	3500000	49681	0	0	0	0	319
U00096.3	70	3500001	3550000	47982	186	3	0	0	1829
U00096.3	71	3550001	3600000	46246	653	0	0	0	3101
U00096.3	72	3600001	3650000	39576	498	2745	0	0	7181
U00096.3	73	3650001	3700000	47636	16	19	35	0	2294
U00096.3	74	3700001	3750000	46097	226	0	0	0	3677
U00096.3	75	3750001	3800000	45024	106	2832	0	0	2038
U00096.3	76	3800001	3850000	47718	28	0	21	0	2233
U00096.3	77	3850001	3900000	46561	427	0	0	0	3012
U00096.3	78	3900001	3950000	48927	0	4	35	0	1034
U00096.3	79	3950001	4000000	47386	261	1	0	0	2352
U00096.3	80	4000001	4050000	47450	41	13	6	0	2490
U00096.3	81	4050001	4100000	47977	0	0	28	0	1995
U00096.3	82	4100001	4150000	47796	163	0	0	0	2041
U00096.3	83	4150001	4200000	46697	109	13	2	0	3179
U00096.3	84	4200001	4250000	47293	56	0	0	0	2651
U00096.3	85	4250001	4300000	46826	107	0	17	0	3050
U00096.3	86	4300001	4350000	40314	5086	165	0	0	4435
U00096.3	87	4350001	4400000	47471	71	0	0	0	2458
U00096.3	88	4400001	4450000	48967	0	0	1	0	1032
U00096.3	89	4450001	4500000	49116	37	0	0	0	847
U00096.3	90	4500001	4550000	43567	879	5	0	0	5549
U00096.3	91	4550001	4600000	47550	141	0	1	0	2308
U00096.3	92	4600001	4641652	40351	4	141	0	0	1132
